t, aX, aY, aZ, gX, gY, gZ
1.1500, -0.82, 0.05, 0.67, 33.60, 11.52, 28.41
1.1533, -0.83, 0.05, 0.65, 33.41, 10.67, 27.01
1.1567, -0.79, 0.05, 0.61, 32.87, 9.82, 25.43
1.1600, -0.83, 0.05, 0.62, 31.77, 7.93, 23.29
1.1633, -0.78, 0.05, 0.57, 30.12, 6.89, 21.28
1.1667, -0.79, 0.03, 0.58, 27.62, 5.37, 19.09
1.1700, -0.81, 0.03, 0.58, 24.82, 3.84, 16.77
1.1733, -0.76, 0.02, 0.54, 21.77, 2.93, 14.63
1.1767, -0.79, 0.03, 0.55, 18.41, 1.65, 12.44
1.1800, -0.79, 0.01, 0.54, 14.82, 0.73, 10.24
1.1833, -0.78, 0.01, 0.50, 11.34, 0.12, 8.05
1.1867, -0.81, 0.00, 0.55, 7.56, -0.49, 6.04
1.1900, -0.77, -0.01, 0.51, 3.72, -0.73, 4.09
1.1933, -0.80, -0.01, 0.54, 0.37, -1.22, 2.07
1.1967, -0.81, -0.03, 0.54, -2.80, -1.28, 0.43
1.2000, -0.79, -0.02, 0.52, -5.61, -1.10, -0.91
1.2033, -0.81, -0.02, 0.55, -7.68, -1.22, -2.56
1.2067, -0.78, -0.00, 0.54, -9.76, -1.04, -4.09
1.2100, -0.80, -0.04, 0.54, -11.46, -1.04, -5.85
1.2133, -0.77, 0.02, 0.62, -12.56, -0.73, -7.74
1.2167, -0.80, 0.10, 0.56, -13.41, -0.67, -10.30
1.2200, -0.80, 0.06, 0.58, -14.09, -0.43, -12.68
1.2233, -0.81, 0.00, 0.58, -14.70, -0.85, -15.00
1.2267, -0.83, 0.05, 0.55, -14.21, -1.28, -17.62
1.2300, -0.81, 0.06, 0.59, -14.21, -1.59, -19.45
1.2333, -0.81, 0.06, 0.58, -14.27, -1.95, -21.40
1.2367, -0.81, 0.08, 0.60, -13.54, -2.44, -23.17
1.2400, -0.79, 0.09, 0.59, -12.68, -2.68, -24.51
1.2433, -0.78, 0.10, 0.60, -11.89, -2.93, -25.55
1.2467, -0.80, 0.10, 0.61, -10.49, -3.17, -26.46
1.2500, -0.80, 0.10, 0.60, -8.84, -3.35, -27.13
1.2533, -0.79, 0.12, 0.61, -6.83, -3.54, -27.38
1.2567, -0.79, 0.12, 0.61, -4.51, -4.21, -27.50
1.2600, -0.79, 0.11, 0.60, -2.20, -4.70, -27.26
1.2633, -0.80, 0.10, 0.63, 0.12, -5.18, -26.59
1.2667, -0.79, 0.11, 0.60, 2.68, -5.55, -25.79
1.2700, -0.77, 0.10, 0.61, 5.55, -5.98, -24.70
1.2733, -0.79, 0.08, 0.58, 8.23, -6.52, -23.23
1.2767, -0.80, 0.07, 0.56, 10.91, -7.01, -21.77
1.2800, -0.79, 0.07, 0.58, 13.54, -7.13, -19.82
1.2833, -0.79, 0.06, 0.53, 16.04, -7.32, -17.99
1.2867, -0.79, 0.04, 0.53, 18.05, -7.32, -16.16
1.2900, -0.78, 0.04, 0.50, 19.76, -6.95, -14.02
1.2933, -0.79, 0.04, 0.50, 20.98, -6.34, -12.13
1.2967, -0.79, 0.04, 0.51, 21.95, -5.49, -10.43
1.3000, -0.78, 0.04, 0.48, 22.44, -4.33, -8.78
1.3033, -0.78, 0.05, 0.49, 22.38, -2.99, -7.26
1.3067, -0.79, 0.04, 0.47, 22.20, -1.46, -6.16
1.3100, -0.79, 0.04, 0.47, 21.59, -0.06, -5.06
1.3133, -0.79, 0.04, 0.48, 20.79, 1.46, -4.21
1.3167, -0.78, 0.04, 0.47, 20.00, 2.87, -3.54
